transaction_id,customer_id,date,time,transaction_type,amount,location,merchant_category,is_fraud
T00010630,CUST000107,2023-04-29,06:59:06,CASH_WITHDRAWAL,212.16,Dallas,Education,0
T00004678,CUST000306,2023-05-04,09:51:38,PAYMENT,237.38,Philadelphia,Education,0
T00014883,CUST000122,2023-11-19,17:41:32,CASH_WITHDRAWAL,280.93,Dallas,Food,0
T00002298,CUST000069,2023-05-17,02:27:24,CREDIT,4428.38,Philadelphia,Retail,0
T00002191,CUST000701,2023-07-16,18:57:54,DEBIT,118.08,New York,Travel,0
T00002530,CUST000358,2023-12-15,10:24:17,TRANSFER,229.64,Los Angeles,Food,0
T00039785,CUST000180,2023-01-27,12:12:36,DEBIT,56.2,Dallas,Travel,0
T00001901,CUST000093,2023-05-06,11:04:33,TRANSFER,404.65,San Antonio,Healthcare,0
T00013585,CUST000230,2023-02-16,13:18:16,TRANSFER,369.77,Dallas,Food,0
T00024963,CUST000513,2023-09-30,13:53:32,CASH_WITHDRAWAL,123.34,Philadelphia,Retail,0
T00024444,CUST000823,2023-04-01,22:40:22,PAYMENT,461.32,New York,Retail,0
T00017756,CUST000571,2023-09-29,02:56:15,PAYMENT,53.45,San Jose,Healthcare,0
T00014158,CUST000664,2023-08-11,12:39:25,CREDIT,1263.75,Chicago,Travel,0
T00011601,CUST000035,2023-10-13,00:46:02,CASH_WITHDRAWAL,23.42,Chicago,Travel,0
T00037955,CUST000340,2023-04-08,20:26:41,DEBIT,178.44,Houston,Travel,0
T00013755,CUST000653,2023-07-15,18:40:56,CASH_WITHDRAWAL,110.48,Dallas,Food,0
T00024543,CUST000942,2023-10-08,06:38:15,TRANSFER,1294.62,New York,Healthcare,0
T00009141,CUST000457,2023-01-02,00:18:43,TRANSFER,935.97,Chicago,Entertainment,0
T00044323,CUST000926,2023-04-25,23:15:10,DEBIT,87.02,Philadelphia,Retail,0
T00014001,CUST000161,2023-07-22,16:50:49,CASH_WITHDRAWAL,160.3,Philadelphia,Retail,0
T00031744,CUST000785,2023-03-03,07:29:54,TRANSFER,1893.47,Philadelphia,Food,0
T00022417,CUST000497,2023-01-20,02:23:04,CREDIT,682.92,San Antonio,Utilities,0
T00048407,CUST000408,2023-04-02,08:17:32,PAYMENT,287.28,San Jose,Cryptocurrency,1
T00032186,CUST000574,2023-06-19,23:30:59,PAYMENT,482.08,Dallas,Food,0
T00000508,CUST000566,2023-03-04,04:34:22,CASH_WITHDRAWAL,176.76,San Diego,Travel,0
T00031992,CUST000011,2023-07-25,05:14:54,TRANSFER,290.98,San Diego,Technology,0
T00013619,CUST000611,2023-07-16,12:07:23,TRANSFER,469.05,San Jose,Food,0
T00013290,CUST000279,2023-05-01,09:09:34,TRANSFER,1310.08,Dallas,Travel,0
T00015697,CUST000039,2023-06-13,21:07:38,CASH_WITHDRAWAL,266.7,Los Angeles,Entertainment,0
T00011298,CUST000210,2023-11-05,16:35:29,CASH_WITHDRAWAL,249.49,Houston,Entertainment,0
T00029563,CUST000013,2023-06-06,18:32:35,TRANSFER,1231.16,Chicago,Utilities,0
T00017286,CUST000367,2023-06-17,02:38:54,CASH_WITHDRAWAL,282.89,Dallas,Retail,0
T00035439,CUST000279,2023-02-28,08:24:16,CASH_WITHDRAWAL,262.91,Houston,Healthcare,0
T00007753,CUST000041,2023-10-15,22:55:36,CREDIT,564.42,New York,Food,0
T00048429,CUST000051,2023-05-27,16:17:13,CREDIT,133.04,Dallas,Technology,1
T00013048,CUST000964,2023-01-26,02:31:09,CREDIT,1904.74,Los Angeles,Utilities,0
T00010595,CUST000516,2023-03-21,08:53:10,PAYMENT,442.92,San Diego,Healthcare,0
T00000708,CUST000463,2023-04-17,05:27:52,TRANSFER,1534.33,Chicago,Entertainment,0
T00000040,CUST000063,2023-06-06,08:42:08,CASH_WITHDRAWAL,244.17,Los Angeles,Travel,0
T00022328,CUST000457,2023-06-07,22:11:46,DEBIT,164.08,San Diego,Food,0
T00041676,CUST000213,2023-10-10,22:14:21,DEBIT,24.83,San Jose,Healthcare,0
T00035413,CUST000430,2023-06-14,06:41:08,PAYMENT,228.02,Dallas,Education,0
T00010733,CUST000306,2023-12-07,01:50:21,TRANSFER,92.8,Houston,Utilities,0
T00000476,CUST000780,2023-04-15,18:24:19,PAYMENT,74.93,Chicago,Education,0
T00010890,CUST000282,2023-04-10,11:13:05,DEBIT,109.52,Philadelphia,Retail,0
T00005876,CUST000671,2023-10-24,14:57:34,TRANSFER,1085.17,Phoenix,Education,0
T00032453,CUST000136,2023-06-02,09:16:02,TRANSFER,1265.36,Dallas,Food,0
T00015769,CUST000005,2023-07-19,04:37:45,TRANSFER,1791.16,Dallas,Retail,0
T00028372,CUST000828,2023-02-23,11:09:54,CREDIT,4477.78,Dallas,Utilities,0
T00041368,CUST000595,2023-12-02,09:48:00,PAYMENT,381.97,Houston,Travel,0
T00008825,CUST000825,2023-06-19,21:14:02,CREDIT,800.16,Los Angeles,Food,0
T00035866,CUST000769,2023-09-07,10:15:15,PAYMENT,180.09,Houston,Travel,0
T00032466,CUST000898,2023-02-22,23:02:39,CASH_WITHDRAWAL,107.51,San Antonio,Technology,0
T00016780,CUST000085,2023-11-02,23:59:22,PAYMENT,266.93,San Antonio,Utilities,0
T00026242,CUST000287,2023-12-22,17:23:49,PAYMENT,188.7,San Jose,Technology,0
T00027067,CUST000980,2023-09-11,11:09:40,DEBIT,13.14,San Antonio,Utilities,0
T00016563,CUST000189,2023-03-25,08:10:27,PAYMENT,258.26,Philadelphia,Utilities,0
T00007161,CUST000439,2023-02-11,01:41:14,CASH_WITHDRAWAL,269.57,Houston,Travel,0
T00010121,CUST000793,2023-10-23,16:29:34,CREDIT,3033.49,San Antonio,Healthcare,0
T00016869,CUST000137,2023-01-02,14:22:24,CASH_WITHDRAWAL,46.65,San Jose,Travel,0
T00035870,CUST000381,2023-08-19,18:29:11,TRANSFER,1762.55,Los Angeles,Healthcare,0
T00005071,CUST000779,2023-04-11,08:12:30,TRANSFER,1968.94,New York,Technology,0
T00039634,CUST000483,2023-09-06,11:35:59,CREDIT,1154.51,San Diego,Entertainment,0
T00051008,CUST000345,2023-10-24,08:48:34,CREDIT,108.36,Philadelphia,Entertainment,1
T00043532,CUST000557,2023-08-17,03:26:32,PAYMENT,74.09,Dallas,Food,0
T00013579,CUST000415,2023-10-15,15:36:53,CREDIT,3287.68,San Antonio,Utilities,0
T00037002,CUST000085,2023-05-20,09:59:12,PAYMENT,217.04,Los Angeles,Healthcare,0
T00050317,CUST000639,2023-05-27,20:10:02,DEBIT,297.76,Lagos,Healthcare,1
T00012233,CUST000912,2023-02-11,00:24:40,PAYMENT,428.03,Chicago,Food,0
T00001985,CUST000034,2023-01-07,00:45:02,PAYMENT,85.15,Philadelphia,Healthcare,0
T00047466,CUST000273,2023-04-15,22:03:23,PAYMENT,335.94,New York,Travel,0
T00028493,CUST000490,2023-12-25,03:44:48,DEBIT,102.5,San Diego,Utilities,0
T00029387,CUST000661,2023-12-22,21:40:57,PAYMENT,416.86,New York,Retail,0
T00026006,CUST000326,2023-08-12,21:57:04,DEBIT,9.06,San Jose,Healthcare,0
T00048108,CUST000281,2023-11-09,12:23:48,PAYMENT,255.38,Dallas,Cryptocurrency,1
T00048292,CUST000584,2023-05-24,22:46:32,TRANSFER,56.17,San Antonio,Food,1
T00047361,CUST000996,2023-12-22,03:50:42,PAYMENT,298.32,Phoenix,Healthcare,0
T00013252,CUST000625,2023-02-15,07:42:39,DEBIT,191.55,Chicago,Education,0
T00022774,CUST000134,2023-04-24,17:08:50,CREDIT,1196.28,Houston,Technology,0
T00037896,CUST000766,2023-09-08,21:19:45,DEBIT,80.66,Dallas,Technology,0
T00044992,CUST000174,2023-01-18,17:45:33,DEBIT,197.18,Dallas,Retail,0
T00005872,CUST000684,2023-10-27,07:36:42,PAYMENT,50.75,Philadelphia,Education,0
T00035867,CUST000578,2023-08-28,21:36:05,CASH_WITHDRAWAL,299.05,Houston,Retail,0
T00022225,CUST000896,2023-04-10,09:14:10,CREDIT,3021.64,Chicago,Utilities,0
T00035160,CUST000081,2023-05-10,18:58:10,PAYMENT,236.43,Philadelphia,Education,0
T00035145,CUST000474,2023-03-19,04:56:23,DEBIT,148.29,Chicago,Utilities,0
T00028814,CUST000826,2023-01-18,04:58:59,CASH_WITHDRAWAL,105.27,Philadelphia,Retail,0
T00002984,CUST000084,2023-04-05,04:12:34,TRANSFER,1264.96,Los Angeles,Healthcare,0
T00018092,CUST000048,2023-04-19,04:27:31,CASH_WITHDRAWAL,219.22,Los Angeles,Healthcare,0
T00034186,CUST000834,2023-04-14,01:06:33,TRANSFER,603.95,Phoenix,Education,0
T00045180,CUST000954,2023-09-27,14:58:51,DEBIT,38.34,San Diego,Education,0
T00005455,CUST000528,2023-08-06,00:59:24,DEBIT,108.51,Dallas,Technology,0
T00027173,CUST000909,2023-10-17,03:33:41,TRANSFER,1481.42,San Jose,Utilities,0
T00006420,CUST000113,2023-02-15,18:43:05,CREDIT,2214.95,Los Angeles,Food,0
T00037127,CUST000975,2023-11-30,21:03:52,PAYMENT,161.66,Houston,Utilities,0
T00043952,CUST000004,2023-12-10,17:30:45,PAYMENT,11.48,San Jose,Education,0
T00049956,CUST000050,2023-05-30,02:39:56,PAYMENT,300.04,San Antonio,Cryptocurrency,1
T00005294,CUST000069,2023-12-07,17:26:46,TRANSFER,470.8,San Jose,Technology,0
T00033140,CUST000623,2023-06-30,16:00:33,TRANSFER,1554.42,San Jose,Education,0
T00002729,CUST000067,2023-03-01,19:26:28,CREDIT,4027.14,Los Angeles,Food,0
T00043180,CUST000773,2023-11-14,05:48:32,CASH_WITHDRAWAL,231.63,Dallas,Retail,0
T00037733,CUST000481,2023-01-01,22:13:48,TRANSFER,296.11,San Diego,Healthcare,0
T00026416,CUST000128,2023-02-13,22:07:36,CREDIT,282.36,San Diego,Technology,0
T00044951,CUST000138,2023-05-09,08:49:48,CASH_WITHDRAWAL,82.62,Houston,Retail,0
T00043400,CUST000457,2023-10-22,20:43:17,PAYMENT,492.38,Houston,Food,0
T00037385,CUST000714,2023-12-14,06:55:53,CASH_WITHDRAWAL,254.2,San Jose,Technology,0
T00050965,CUST000596,2023-01-19,04:04:07,DEBIT,51.55,Los Angeles,Technology,1
T00029558,CUST000765,2023-10-07,10:22:09,TRANSFER,704.39,Chicago,Food,0
T00017704,CUST000521,2023-03-10,13:25:22,CREDIT,2264.96,Chicago,Travel,0
T00028492,CUST000594,2023-08-22,18:28:26,TRANSFER,882.71,Philadelphia,Technology,0
T00005048,CUST000562,2023-07-08,07:23:05,CREDIT,4358.13,New York,Travel,0
T00025533,CUST000087,2023-04-22,10:02:28,CASH_WITHDRAWAL,95.66,New York,Healthcare,0
T00023475,CUST000785,2023-09-01,13:18:57,CREDIT,3682.96,New York,Food,0
T00024348,CUST000706,2023-07-02,10:17:07,TRANSFER,1744.59,Los Angeles,Entertainment,0
T00010013,CUST000095,2023-01-10,12:23:23,PAYMENT,19.48,San Antonio,Education,0
T00033641,CUST000316,2023-06-09,17:01:07,PAYMENT,467.81,New York,Travel,0
T00032055,CUST000899,2023-05-17,19:47:56,CASH_WITHDRAWAL,243.33,Dallas,Utilities,0
T00026684,CUST000792,2023-11-29,21:47:17,CASH_WITHDRAWAL,155.39,Chicago,Retail,0
T00040892,CUST000788,2023-08-11,08:38:29,DEBIT,175.79,San Diego,Utilities,0
T00013399,CUST000382,2023-07-31,18:05:20,CASH_WITHDRAWAL,168.58,San Antonio,Travel,0
T00041705,CUST000269,2023-11-26,23:28:30,TRANSFER,286.74,New York,Entertainment,0
T00014381,CUST000301,2023-06-16,18:29:44,DEBIT,184.09,Philadelphia,Food,0
T00026195,CUST000739,2023-08-07,05:32:23,CASH_WITHDRAWAL,156.69,San Diego,Utilities,0
T00025086,CUST000849,2023-05-03,17:19:01,CREDIT,715.68,San Jose,Food,0
T00034427,CUST000984,2023-11-15,08:28:11,DEBIT,41.11,Phoenix,Healthcare,0
T00043077,CUST000227,2023-08-26,20:26:15,TRANSFER,505.04,Dallas,Technology,0
T00038477,CUST000295,2023-04-12,05:41:39,DEBIT,31.17,Houston,Technology,0
T00042893,CUST000453,2023-12-06,05:51:50,CREDIT,1328.87,Dallas,Technology,0
T00049798,CUST000220,2023-10-10,10:50:39,PAYMENT,16083.04,Dallas,Travel,1
T00007340,CUST000080,2023-11-26,21:57:13,CASH_WITHDRAWAL,142.58,Philadelphia,Retail,0
T00011574,CUST000982,2023-12-28,11:09:23,CREDIT,2942.83,Houston,Utilities,0
T00019045,CUST000867,2023-08-14,21:12:59,DEBIT,101.94,San Diego,Technology,0
T00035021,CUST000845,2023-03-31,13:36:10,TRANSFER,1203.77,San Jose,Travel,0
T00022685,CUST000898,2023-03-14,08:09:44,TRANSFER,1537.53,Phoenix,Food,0
T00047293,CUST000683,2023-04-10,21:17:30,TRANSFER,125.33,Phoenix,Utilities,0
T00031330,CUST000046,2023-12-08,15:19:12,PAYMENT,294.34,Los Angeles,Travel,0
T00032647,CUST000726,2023-05-14,15:56:55,CREDIT,2360.58,San Jose,Utilities,0
T00046065,CUST000741,2023-12-01,18:03:53,CREDIT,3038.57,Philadelphia,Utilities,0
T00031548,CUST000210,2023-10-07,18:04:08,CREDIT,408.35,Philadelphia,Travel,0
T00031872,CUST000218,2023-10-02,02:43:59,CREDIT,295.33,San Jose,Technology,0
T00013623,CUST000008,2023-08-17,05:51:41,PAYMENT,364.68,Dallas,Entertainment,0
T00048711,CUST000446,2023-12-24,20:32:35,TRANSFER,554.49,Lagos,Technology,1
T00036430,CUST000528,2023-12-24,03:57:21,TRANSFER,505.84,Phoenix,Healthcare,0
T00047580,CUST000163,2023-06-22,08:45:49,CREDIT,110.4,New York,Technology,1
T00022382,CUST000108,2023-05-02,21:28:04,PAYMENT,115.16,Chicago,Technology,0
T00033699,CUST000225,2023-07-21,04:13:40,TRANSFER,1751.58,Chicago,Healthcare,0
T00041291,CUST000150,2023-01-11,16:26:16,CREDIT,3351.77,Los Angeles,Healthcare,0
T00045009,CUST000732,2023-04-24,05:07:50,CREDIT,3161.08,Philadelphia,Entertainment,0
T00013745,CUST000623,2023-06-03,13:20:40,CASH_WITHDRAWAL,298.76,Chicago,Healthcare,0
T00003375,CUST000725,2023-12-14,17:34:18,CASH_WITHDRAWAL,58.72,Dallas,Travel,0
T00001793,CUST000693,2023-06-15,04:29:14,TRANSFER,1095.01,Los Angeles,Utilities,0
T00008363,CUST000871,2023-05-07,15:27:48,PAYMENT,138.7,Phoenix,Food,0
T00046004,CUST000641,2023-12-25,04:39:36,CASH_WITHDRAWAL,130.72,San Antonio,Education,0
T00015142,CUST000563,2023-10-29,01:33:57,DEBIT,178.85,Dallas,Entertainment,0
T00029884,CUST000736,2023-01-05,00:55:06,CREDIT,2722.52,Dallas,Travel,0
T00044395,CUST000784,2023-07-17,10:10:19,PAYMENT,97.76,Dallas,Healthcare,0
T00018872,CUST000275,2023-08-21,21:32:58,CASH_WITHDRAWAL,270.42,Dallas,Utilities,0
T00037022,CUST000958,2023-02-01,21:52:39,PAYMENT,130.27,Philadelphia,Education,0
T00026787,CUST000078,2023-07-09,12:29:26,TRANSFER,1274.26,San Antonio,Technology,0
T00025438,CUST000425,2023-12-30,16:14:21,PAYMENT,259.37,San Diego,Healthcare,0
T00042876,CUST000826,2023-02-10,12:37:46,CREDIT,3923.15,San Jose,Entertainment,0
T00001227,CUST000809,2023-11-05,13:53:10,CREDIT,4537.33,San Jose,Travel,0
T00032065,CUST000399,2023-10-23,09:32:47,DEBIT,191.48,Dallas,Travel,0
T00039379,CUST000779,2023-10-22,13:17:10,CREDIT,1766.26,Los Angeles,Utilities,0
T00013752,CUST000512,2023-01-29,17:44:31,CREDIT,998.07,New York,Technology,0
T00040541,CUST000088,2023-11-27,09:18:35,PAYMENT,344.2,San Diego,Food,0
T00047627,CUST000124,2023-06-23,18:26:55,CASH_WITHDRAWAL,132.2,Houston,Technology,1
T00037736,CUST000797,2023-11-26,09:42:12,CASH_WITHDRAWAL,148.44,San Diego,Technology,0
T00024433,CUST000984,2023-04-28,21:41:44,CASH_WITHDRAWAL,133.65,San Jose,Education,0
T00001792,CUST000391,2023-09-10,08:17:07,TRANSFER,830.12,Los Angeles,Utilities,0
T00001603,CUST000468,2023-04-04,06:21:34,CASH_WITHDRAWAL,246.66,Chicago,Education,0
T00030091,CUST000384,2023-04-17,16:37:36,TRANSFER,667.98,Los Angeles,Travel,0
T00001164,CUST000100,2023-12-23,09:41:49,CREDIT,3223.38,San Antonio,Utilities,0
T00041483,CUST000387,2023-08-25,07:37:58,PAYMENT,68.98,San Antonio,Healthcare,0
T00015518,CUST000648,2023-06-17,11:13:35,CASH_WITHDRAWAL,243.66,New York,Travel,0
T00028576,CUST000155,2023-05-12,04:58:42,CREDIT,3085.23,New York,Education,0
T00011475,CUST000621,2023-10-20,04:08:44,TRANSFER,464.57,New York,Food,0
T00023222,CUST000425,2023-08-22,20:07:25,PAYMENT,403.16,Houston,Utilities,0
T00025679,CUST000173,2023-08-08,04:31:01,CASH_WITHDRAWAL,145.59,Dallas,Healthcare,0
T00013314,CUST000025,2023-01-30,09:35:27,CASH_WITHDRAWAL,87.12,Dallas,Technology,0
T00001655,CUST000931,2023-07-11,15:38:15,DEBIT,198.52,Dallas,Food,0
T00021070,CUST000103,2023-01-28,08:03:29,TRANSFER,909.92,San Jose,Travel,0
T00000381,CUST000839,2023-05-15,00:53:17,TRANSFER,616.38,Phoenix,Food,0
T00039862,CUST000188,2023-09-20,05:35:46,CREDIT,1741.43,New York,Food,0
T00033930,CUST000644,2023-02-14,03:40:41,DEBIT,16.0,San Jose,Utilities,0
T00018843,CUST000897,2023-05-25,08:12:30,CASH_WITHDRAWAL,293.26,San Diego,Travel,0
T00035621,CUST000874,2023-01-18,14:18:17,CREDIT,1370.95,Philadelphia,Entertainment,0
T00002445,CUST000685,2023-01-26,03:32:16,CASH_WITHDRAWAL,82.95,Houston,Travel,0
T00014888,CUST000932,2023-04-19,06:31:34,PAYMENT,237.77,Chicago,Healthcare,0
T00008530,CUST000051,2023-11-09,22:49:10,PAYMENT,205.69,Phoenix,Travel,0
T00026722,CUST000152,2023-04-16,17:41:15,DEBIT,100.6,Phoenix,Education,0
T00036223,CUST000204,2023-07-02,20:14:22,TRANSFER,853.39,New York,Utilities,0
T00010639,CUST000002,2023-06-26,12:54:56,CASH_WITHDRAWAL,180.01,Philadelphia,Retail,0
T00003609,CUST000851,2023-01-01,00:34:02,CREDIT,188.5,New York,Food,0
T00010593,CUST000007,2023-06-18,05:52:35,CASH_WITHDRAWAL,44.73,Houston,Food,0
T00009647,CUST000351,2023-11-03,01:47:51,TRANSFER,686.71,Los Angeles,Technology,0
T00023162,CUST000439,2023-09-30,13:35:32,TRANSFER,1219.72,San Jose,Food,0
T00014170,CUST000135,2023-09-15,01:54:27,DEBIT,87.51,Houston,Food,0
T00024296,CUST000208,2023-02-04,01:23:50,CREDIT,4040.97,Dallas,Retail,0
T00010504,CUST000961,2023-05-13,15:55:26,TRANSFER,1867.34,Philadelphia,Entertainment,0
T00018590,CUST000271,2023-02-05,19:24:29,DEBIT,25.15,Los Angeles,Food,0
T00048524,CUST000039,2023-04-25,17:33:40,TRANSFER,12056.45,Los Angeles,Retail,1
T00015363,CUST000766,2023-02-02,22:58:38,PAYMENT,330.28,New York,Travel,0
T00009807,CUST000935,2023-03-27,04:23:14,PAYMENT,162.99,San Jose,Food,0
T00012486,CUST000992,2023-12-17,05:14:04,CREDIT,1726.32,Houston,Healthcare,0
T00028260,CUST000116,2023-04-11,16:58:50,PAYMENT,134.87,San Antonio,Food,0
T00002360,CUST000103,2023-07-02,20:10:49,CREDIT,3465.25,Houston,Technology,0
T00050258,CUST000942,2023-12-06,11:13:58,PAYMENT,39996.87,Phoenix,Utilities,1
T00032511,CUST000100,2023-08-17,14:21:00,CREDIT,1323.74,New York,Utilities,0
T00042997,CUST000592,2023-12-30,23:56:14,TRANSFER,232.44,Dallas,Education,0
T00030726,CUST000682,2023-12-22,10:07:12,TRANSFER,1664.79,San Antonio,Education,0
T00042121,CUST000437,2023-12-12,16:01:40,CREDIT,605.99,Phoenix,Entertainment,0
T00012216,CUST000428,2023-06-02,15:33:49,CREDIT,4781.08,San Jose,Utilities,0
T00045940,CUST000935,2023-12-04,21:37:05,CASH_WITHDRAWAL,172.88,Dallas,Education,0
T00050749,CUST000555,2023-12-07,20:50:33,DEBIT,174.44,Phoenix,Technology,1
T00004855,CUST000581,2023-06-28,17:02:41,PAYMENT,314.01,San Diego,Retail,0
T00013637,CUST000892,2023-06-09,11:34:17,PAYMENT,304.49,New York,Food,0
T00032240,CUST000837,2023-09-07,05:22:36,TRANSFER,1979.76,Houston,Entertainment,0
T00050667,CUST000851,2023-02-19,01:13:17,PAYMENT,813.33,Houston,Cryptocurrency,1
T00050434,CUST000587,2023-06-30,14:47:45,PAYMENT,8858.53,San Antonio,Retail,1
T00016711,CUST000834,2023-12-12,23:01:43,DEBIT,144.06,Los Angeles,Entertainment,0
T00035134,CUST000924,2023-06-16,08:36:51,PAYMENT,309.77,Los Angeles,Travel,0
T00034608,CUST000557,2023-12-01,14:09:13,DEBIT,194.66,New York,Entertainment,0
T00016027,CUST000451,2023-12-29,21:22:24,PAYMENT,190.39,Philadelphia,Utilities,0
T00027670,CUST000631,2023-07-12,07:42:57,DEBIT,43.58,San Diego,Utilities,0
T00016904,CUST000226,2023-04-23,07:49:54,CASH_WITHDRAWAL,137.8,Houston,Travel,0
T00012471,CUST000612,2023-07-01,14:08:08,CASH_WITHDRAWAL,270.5,San Diego,Healthcare,0
T00006921,CUST000114,2023-03-19,09:24:09,PAYMENT,124.86,Philadelphia,Healthcare,0
T00023766,CUST000112,2023-08-07,21:30:01,PAYMENT,226.2,San Jose,Education,0
T00003298,CUST000529,2023-08-13,00:12:19,TRANSFER,1013.12,New York,Healthcare,0
T00010657,CUST000847,2023-01-21,15:40:21,PAYMENT,149.77,New York,Entertainment,0
T00040360,CUST000981,2023-09-22,03:00:01,CREDIT,1151.32,Phoenix,Food,0
T00027668,CUST000928,2023-12-03,19:40:55,DEBIT,80.33,San Jose,Travel,0
T00017313,CUST000968,2023-03-02,03:47:51,CASH_WITHDRAWAL,107.03,San Diego,Healthcare,0
T00020844,CUST000553,2023-10-05,23:09:17,CREDIT,217.08,Chicago,Entertainment,0
T00012474,CUST000226,2023-04-28,13:31:12,CREDIT,605.63,San Jose,Utilities,0
T00038350,CUST000784,2023-01-17,12:51:55,TRANSFER,978.73,New York,Travel,0
T00016372,CUST000596,2023-02-07,10:05:29,TRANSFER,54.96,Houston,Entertainment,0
T00029428,CUST000513,2023-12-10,20:27:55,DEBIT,155.53,Chicago,Healthcare,0
T00029955,CUST000726,2023-12-02,22:31:26,CREDIT,3968.64,Dallas,Entertainment,0
